time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),rain (mm),showers (mm),snowfall (cm),wind_speed_180m (km/h)
2024-11-03T00:00,13.4,56,3.8,0.00,0.00,0.00,6
2024-11-03T01:00,12.4,57,4.1,0.00,0.00,0.00,7.0
2024-11-03T02:00,12.4,58,4.3,0.00,0.00,0.00,9.2
2024-11-03T03:00,12.7,55,3.9,0.00,0.00,0.00,12.7
2024-11-03T04:00,13.8,52,4.1,0.00,0.00,0.00,12.1
2024-11-03T05:00,16.5,44,4.2,0.00,0.00,0.00,9.2
2024-11-03T06:00,19.1,36,3.7,0.00,0.00,0.00,9.0
2024-11-03T07:00,20.1,30,2.0,0.00,0.00,0.00,2.9
2024-11-03T08:00,17.3,48,6.2,0.70,0.00,0.00,11.4
2024-11-03T09:00,16.7,55,7.6,0.40,0.00,0.00,12.4
2024-11-03T10:00,17.4,52,7.4,0.00,0.30,0.00,19.8
2024-11-03T11:00,18.3,48,7.1,0.00,0.00,0.00,16.0
2024-11-03T12:00,18.5,50,7.9,0.00,0.10,0.00,15.9
2024-11-03T13:00,18.1,52,8.1,0.00,0.00,0.00,13.0
2024-11-03T14:00,17.2,58,8.9,0.00,0.00,0.00,13.9
2024-11-03T15:00,16.2,64,9.4,0.00,0.00,0.00,11.8
2024-11-03T16:00,15.1,72,10.1,0.00,0.10,0.00,8.9
2024-11-03T17:00,14.5,76,10.3,0.00,0.20,0.00,10.3
2024-11-03T18:00,14.7,73,9.9,0.00,0.00,0.00,13.9
2024-11-03T19:00,14.8,70,9.4,0.00,0.00,0.00,16.0
2024-11-03T20:00,14.6,71,9.4,0.00,0.10,0.00,16.8
2024-11-03T21:00,14.7,71,9.5,0.00,0.10,0.00,19.0
2024-11-03T22:00,14.6,72,9.6,0.00,0.10,0.00,18.4
2024-11-03T23:00,14.4,75,10.0,0.00,0.10,0.00,17.3
2024-11-04T00:00,14.5,74,9.9,0.00,0.00,0.00,14.9
2024-11-04T01:00,14.2,75,9.9,0.00,0.00,0.00,13.2
2024-11-04T02:00,13.9,77,9.9,0.00,0.00,0.00,11.5
2024-11-04T03:00,13.5,78,9.8,0.00,0.00,0.00,9.2
2024-11-04T04:00,13.9,74,9.3,0.00,0.00,0.00,6.6
2024-11-04T05:00,16.2,64,9.4,0.00,0.00,0.00,5.9
2024-11-04T06:00,18.6,50,8.0,0.00,0.00,0.00,10.1
2024-11-04T07:00,19.6,46,7.7,0.00,0.00,0.00,7.8
2024-11-04T08:00,20.9,42,7.5,0.00,0.00,0.00,2.5
2024-11-04T09:00,21.5,39,6.9,0.00,0.00,0.00,7.4
2024-11-04T10:00,21.7,38,6.7,0.00,0.00,0.00,8.4
2024-11-04T11:00,21.0,40,6.9,0.00,0.10,0.00,7.7
2024-11-04T12:00,20.1,46,8.1,0.00,0.10,0.00,8.0
2024-11-04T13:00,19.0,51,8.6,0.00,0.20,0.00,10.8
2024-11-04T14:00,16.7,62,9.4,0.00,0.10,0.00,22.5
2024-11-04T15:00,16.4,63,9.3,0.00,0.00,0.00,17.8
2024-11-04T16:00,16.2,61,8.7,0.00,0.00,0.00,19.3
2024-11-04T17:00,15.9,63,8.8,0.00,0.00,0.00,17.2
2024-11-04T18:00,15.4,64,8.6,0.00,0.00,0.00,12.0
2024-11-04T19:00,14.4,68,8.6,0.00,0.00,0.00,8.9
2024-11-04T20:00,13.6,73,8.9,0.00,0.00,0.00,11.2
2024-11-04T21:00,13.1,75,8.8,0.00,0.00,0.00,8.1
2024-11-04T22:00,12.2,81,9.0,0.00,0.00,0.00,1.9
2024-11-04T23:00,11.5,82,8.6,0.00,0.00,0.00,0.4
2024-11-05T00:00,11.1,84,8.5,0.00,0.00,0.00,1.4
2024-11-05T01:00,10.8,89,9.1,0.00,0.00,0.00,3.4
2024-11-05T02:00,10.8,84,8.2,0.00,0.00,0.00,7.4
2024-11-05T03:00,10.3,84,7.7,0.00,0.00,0.00,14.1
2024-11-05T04:00,11.1,76,7.0,0.00,0.00,0.00,17.1
2024-11-05T05:00,14.7,59,6.8,0.00,0.00,0.00,19.8
2024-11-05T06:00,18.1,37,3.2,0.00,0.00,0.00,23.5
2024-11-05T07:00,19.4,30,1.4,0.00,0.00,0.00,27.5
2024-11-05T08:00,20.0,28,0.9,0.00,0.00,0.00,25.7
2024-11-05T09:00,20.3,28,1.2,0.00,0.00,0.00,27.8
2024-11-05T10:00,20.4,28,1.3,0.00,0.00,0.00,26.5
2024-11-05T11:00,20.4,29,1.8,0.00,0.00,0.00,23.4
2024-11-05T12:00,20.2,27,0.6,0.00,0.00,0.00,24.3
2024-11-05T13:00,19.4,27,-0.1,0.00,0.00,0.00,29.1
2024-11-05T14:00,17.7,30,-0.1,0.00,0.00,0.00,27.0
2024-11-05T15:00,16.3,35,0.8,0.00,0.00,0.00,21.6
2024-11-05T16:00,14.9,38,0.7,0.00,0.00,0.00,19.9
2024-11-05T17:00,14.0,42,1.3,0.00,0.00,0.00,22.7
2024-11-05T18:00,12.8,46,1.5,0.00,0.00,0.00,25.0
2024-11-05T19:00,11.8,51,2.0,0.00,0.00,0.00,22.4
2024-11-05T20:00,10.6,56,2.2,0.00,0.00,0.00,21.7
2024-11-05T21:00,9.7,59,2.1,0.00,0.00,0.00,21.3
2024-11-05T22:00,9.0,64,2.6,0.00,0.00,0.00,18.2
2024-11-05T23:00,8.4,70,3.3,0.00,0.00,0.00,11.6
2024-11-06T00:00,8.2,71,3.3,0.00,0.00,0.00,3.8
2024-11-06T01:00,8.0,63,1.4,0.00,0.00,0.00,2.7
2024-11-06T02:00,7.8,58,0.1,0.00,0.00,0.00,7.3
2024-11-06T03:00,7.6,59,0.1,0.00,0.00,0.00,5.6
2024-11-06T04:00,8.3,56,0.1,0.00,0.00,0.00,6.6
2024-11-06T05:00,12.0,46,0.7,0.00,0.00,0.00,5.8
2024-11-06T06:00,15.3,36,0.3,0.00,0.00,0.00,3.3
2024-11-06T07:00,17.0,31,-0.3,0.00,0.00,0.00,4.0
2024-11-06T08:00,18.2,27,-1.1,0.00,0.00,0.00,8.7
2024-11-06T09:00,19.2,21,-3.7,0.00,0.00,0.00,12.9
2024-11-06T10:00,19.6,18,-5.4,0.00,0.00,0.00,16.1
2024-11-06T11:00,19.5,18,-5.4,0.00,0.00,0.00,17.5
2024-11-06T12:00,19.1,18,-5.8,0.00,0.00,0.00,17.8
2024-11-06T13:00,18.1,21,-4.6,0.00,0.00,0.00,15.5
2024-11-06T14:00,16.5,26,-3.1,0.00,0.00,0.00,12.1
2024-11-06T15:00,15.0,31,-2.0,0.00,0.00,0.00,7.9
2024-11-06T16:00,13.4,35,-1.7,0.00,0.00,0.00,2.9
2024-11-06T17:00,11.9,39,-1.6,0.00,0.00,0.00,3.0
2024-11-06T18:00,10.6,42,-1.8,0.00,0.00,0.00,6.5
2024-11-06T19:00,9.9,43,-2.1,0.00,0.00,0.00,6.8
2024-11-06T20:00,9.4,44,-2.2,0.00,0.00,0.00,5.1
2024-11-06T21:00,9.1,44,-2.5,0.00,0.00,0.00,4.1
2024-11-06T22:00,8.9,44,-2.7,0.00,0.00,0.00,4.0
2024-11-06T23:00,8.8,43,-3.1,0.00,0.00,0.00,4.7
2024-11-07T00:00,8.6,43,-3.3,0.00,0.00,0.00,5.0
2024-11-07T01:00,8.0,44,-3.5,0.00,0.00,0.00,5.4
2024-11-07T02:00,7.4,44,-4.0,0.00,0.00,0.00,5.8
2024-11-07T03:00,7.7,43,-4.1,0.00,0.00,0.00,6.2
2024-11-07T04:00,9.8,38,-3.9,0.00,0.00,0.00,6.4
2024-11-07T05:00,12.8,31,-3.9,0.00,0.00,0.00,6.8
2024-11-07T06:00,15.2,27,-3.7,0.00,0.00,0.00,7.4
2024-11-07T07:00,16.3,28,-2.2,0.00,0.00,0.00,9.4
2024-11-07T08:00,16.8,31,-0.4,0.00,0.00,0.00,12.7
2024-11-07T09:00,17.2,33,0.8,0.00,0.00,0.00,15.1
2024-11-07T10:00,17.6,31,0.3,0.00,0.00,0.00,14.5
2024-11-07T11:00,17.9,28,-0.9,0.00,0.00,0.00,12.5
2024-11-07T12:00,17.6,28,-1.2,0.00,0.00,0.00,10.3
2024-11-07T13:00,16.4,33,0.1,0.00,0.00,0.00,9.0
2024-11-07T14:00,14.6,40,1.1,0.00,0.00,0.00,9.2
2024-11-07T15:00,13.0,47,1.9,0.00,0.00,0.00,9.5
2024-11-07T16:00,11.8,52,2.2,0.00,0.00,0.00,9.2
2024-11-07T17:00,10.8,55,2.1,0.00,0.00,0.00,8.9
2024-11-07T18:00,10.0,58,2.1,0.00,0.00,0.00,8.4
2024-11-07T19:00,9.6,59,2.0,0.00,0.00,0.00,8.3
2024-11-07T20:00,9.4,59,1.8,0.00,0.00,0.00,9.0
2024-11-07T21:00,9.1,60,1.8,0.00,0.00,0.00,8.9
2024-11-07T22:00,8.6,62,1.8,0.00,0.00,0.00,6.6
2024-11-07T23:00,8.1,65,1.9,0.00,0.00,0.00,2.7
2024-11-08T00:00,7.7,67,1.9,0.00,0.00,0.00,0.5
2024-11-08T01:00,7.3,69,2.0,0.00,0.00,0.00,0.5
2024-11-08T02:00,7.1,70,2.0,0.00,0.00,0.00,2.6
2024-11-08T03:00,7.3,69,2.0,0.00,0.00,0.00,3.4
2024-11-08T04:00,8.5,64,2.1,0.00,0.00,0.00,1.8
2024-11-08T05:00,10.2,57,2.0,0.00,0.00,0.00,1.5
2024-11-08T06:00,11.4,52,1.9,0.00,0.00,0.00,3.5
2024-11-08T07:00,14.4,42,1.7,0.00,0.00,0.00,4.8
2024-11-08T08:00,14.8,41,1.7,0.00,0.00,0.00,7.9
2024-11-08T09:00,15.0,41,1.9,0.00,0.00,0.00,9.8
2024-11-08T10:00,15.2,40,1.7,0.00,0.00,0.00,9.3
2024-11-08T11:00,15.2,40,1.7,0.00,0.00,0.00,7.9
2024-11-08T12:00,15.0,41,1.8,0.00,0.00,0.00,7.4
2024-11-08T13:00,14.3,44,2.2,0.00,0.00,0.00,8.7
2024-11-08T14:00,13.4,47,2.3,0.00,0.00,0.00,10.0
2024-11-08T15:00,12.5,51,2.7,0.00,0.00,0.00,10.4
2024-11-08T16:00,11.9,54,2.9,0.00,0.00,0.00,8.3
2024-11-08T17:00,11.4,57,3.2,0.00,0.00,0.00,5.5
2024-11-08T18:00,11.0,59,3.3,0.00,0.00,0.00,3.4
2024-11-08T19:00,10.9,58,2.9,0.00,0.00,0.00,3.6
